number,value,datetime_start,datetime_complete,duration,params_activation,params_dropout,params_hidden_size,params_lr,params_n_layers,params_scale_target,params_scaler,params_weight_decay,state
51,151.81494140625,2026-01-03 01:29:53.296788,2026-01-03 01:30:19.738484,0 days 00:00:26.441696,relu,0.14940552084135833,26,0.04572408228681404,2,True,standard,0.0006652644302999932,COMPLETE
52,154.33767700195312,2026-01-03 01:30:19.746484,2026-01-03 01:30:46.177186,0 days 00:00:26.430702,relu,0.10004216612839062,26,0.05139975941380772,2,True,standard,0.0006318341066885619,COMPLETE
53,168.0797119140625,2026-01-03 01:30:46.185186,2026-01-03 01:31:12.569398,0 days 00:00:26.384212,relu,0.10438040499235125,26,0.015653773079314853,2,True,standard,0.000752937144448041,COMPLETE
54,151.50167846679688,2026-01-03 01:31:12.578398,2026-01-03 01:31:39.075099,0 days 00:00:26.496701,relu,0.1641800232405044,30,0.045220960052095,2,True,standard,0.0003389650998797088,COMPLETE
55,150.54507446289062,2026-01-03 01:31:39.083094,2026-01-03 01:32:05.645302,0 days 00:00:26.562208,relu,0.16511500494828382,32,0.025868677942043724,2,True,standard,0.0003177176276951969,COMPLETE
56,187.00534057617188,2026-01-03 01:32:05.653302,2026-01-03 01:32:32.249481,0 days 00:00:26.596179,relu,0.1782111172504892,32,0.025881642082931765,2,True,minmax,0.0003637903569671288,COMPLETE
57,177.47718811035156,2026-01-03 01:32:32.257483,2026-01-03 01:32:59.656178,0 days 00:00:27.398695,mish,0.16379770376291256,29,0.01081132780336492,2,True,standard,0.0002658034034245182,COMPLETE
58,198.3601278347439,2026-01-03 01:32:59.663178,2026-01-03 01:33:25.377889,0 days 00:00:25.714711,silu,0.18589842737632545,28,0.0008981468971318123,2,False,standard,0.00047663077955951494,COMPLETE
59,182.01187133789062,2026-01-03 01:33:25.386891,2026-01-03 01:33:49.247075,0 days 00:00:23.860184,relu,0.1253331105652737,22,0.07924072377435482,1,True,none,0.0003951810959229216,COMPLETE
60,168.24343872070312,2026-01-03 01:33:49.256075,2026-01-03 01:34:16.002283,0 days 00:00:26.746208,relu,0.20940413398797458,30,0.02024422870980716,2,True,standard,0.0005133470762333659,COMPLETE
61,155.36044311523438,2026-01-03 01:34:16.011286,2026-01-03 01:34:42.675494,0 days 00:00:26.664208,relu,0.1556136335809624,32,0.04403254143758878,2,True,standard,0.0007856657639171913,COMPLETE
62,165.86856079101562,2026-01-03 01:34:42.684497,2026-01-03 01:35:08.941666,0 days 00:00:26.257169,relu,0.17033436758518458,26,0.02723844284183943,2,True,standard,7.099823678957688e-05,COMPLETE
