number,value,datetime_start,datetime_complete,duration,params_activation,params_dropout,params_hidden_size,params_lr,params_scale_target,params_scaler,params_scaler_post_pca,params_weight_decay,state
64,164.02508544921875,2026-01-02 16:58:12.821911,2026-01-02 16:58:21.415766,0 days 00:00:08.593855,gelu,0.28599662313600577,56,0.07239102068862913,True,,none,5.5868909137289525e-06,COMPLETE
65,183.29513549804688,2026-01-02 16:58:21.423764,2026-01-02 16:58:29.447547,0 days 00:00:08.023783,gelu,0.25581080921898075,10,0.06682377525883403,True,,none,5.864216726129005e-06,COMPLETE
66,171.90872192382812,2026-01-02 16:58:29.455547,2026-01-02 16:58:37.730774,0 days 00:00:08.275227,gelu,0.2836325796783912,38,0.06348550237927086,True,,none,1.0473263901445951e-05,COMPLETE
67,167.05445861816406,2026-01-02 16:58:37.739775,2026-01-02 16:58:45.503909,0 days 00:00:07.764134,relu,0.305063757722402,48,0.07238605900642908,True,,none,2.26615570164613e-06,COMPLETE
68,166.35940551757812,2026-01-02 16:58:45.511908,2026-01-02 16:58:53.282568,0 days 00:00:07.770660,relu,0.3076238616775102,48,0.07710194123187958,True,,none,2.218558252915193e-06,COMPLETE
69,172.47802734375,2026-01-02 16:58:53.291568,2026-01-02 16:59:01.042164,0 days 00:00:07.750596,relu,0.31414641525244275,33,0.07903110253861767,True,,none,2.1530915404110532e-06,COMPLETE
70,167.85910034179688,2026-01-02 16:59:01.051164,2026-01-02 16:59:08.783773,0 days 00:00:07.732609,relu,0.3487038593136594,47,0.07856645090657616,True,,none,1.8358554385782143e-06,COMPLETE
71,164.57962036132812,2026-01-02 16:59:08.791773,2026-01-02 16:59:16.625889,0 days 00:00:07.834116,relu,0.3334892926962625,54,0.09732432212060008,True,,none,5.219057465473111e-06,COMPLETE
72,170.07003784179688,2026-01-02 16:59:16.632888,2026-01-02 16:59:24.549044,0 days 00:00:07.916156,relu,0.3730670898863439,41,0.09512045221541111,True,,none,4.922259189690372e-06,COMPLETE
73,166.07073974609375,2026-01-02 16:59:24.557044,2026-01-02 16:59:32.433205,0 days 00:00:07.876161,relu,0.3117347015051468,55,0.07380516503344793,True,,none,1.1995117437682932e-06,COMPLETE
74,169.06927490234375,2026-01-02 16:59:32.441207,2026-01-02 16:59:40.356804,0 days 00:00:07.915597,relu,0.33447621825747725,49,0.06955726137592787,True,,none,1.0160577457913976e-05,COMPLETE
75,166.5458984375,2026-01-02 16:59:40.365805,2026-01-02 16:59:48.223904,0 days 00:00:07.858099,relu,0.3084958098759562,55,0.054760700490118955,True,,none,1.3267882598874034e-06,COMPLETE
76,198.71515279134115,2026-01-02 16:59:48.231905,2026-01-02 16:59:55.899507,0 days 00:00:07.667602,relu,0.33417655172571886,54,0.0009632114855495813,False,,none,8.523448512195809e-06,COMPLETE
77,168.616455078125,2026-01-02 16:59:55.908506,2026-01-02 17:00:03.659113,0 days 00:00:07.750607,relu,0.35987841465321413,43,0.09983636530895584,True,,none,1.272719150504721e-06,COMPLETE
78,171.00778198242188,2026-01-02 17:00:03.667113,2026-01-02 17:00:11.329709,0 days 00:00:07.662596,relu,0.2854522481436044,38,0.056493509784749124,True,,none,1.4438859848178855e-06,COMPLETE
79,168.72991943359375,2026-01-02 17:00:11.336709,2026-01-02 17:00:19.162301,0 days 00:00:07.825592,relu,0.3062106375668046,57,0.05758548043319197,True,,none,1.8074150484774458e-06,COMPLETE
80,164.57920837402344,2026-01-02 17:00:19.169301,2026-01-02 17:00:26.967426,0 days 00:00:07.798125,relu,0.2430705599944729,45,0.0792409843466839,True,,none,1.0640765090561322e-06,COMPLETE
81,162.10903930664062,2026-01-02 17:00:26.975424,2026-01-02 17:00:34.772069,0 days 00:00:07.796645,relu,0.23879549446549825,52,0.08300134296914932,True,,none,3.073987329867274e-06,COMPLETE
82,162.52362060546875,2026-01-02 17:00:34.781078,2026-01-02 17:00:42.677664,0 days 00:00:07.896586,relu,0.2215613950344923,44,0.08113563219553985,True,,none,1.0093388486555945e-06,COMPLETE
83,165.13038635253906,2026-01-02 17:00:42.686666,2026-01-02 17:00:50.367793,0 days 00:00:07.681127,relu,0.23604911380259674,44,0.08276877308756761,True,,none,1.0507982482703244e-06,COMPLETE
84,176.22276306152344,2026-01-02 17:00:50.375793,2026-01-02 17:00:57.931346,0 days 00:00:07.555553,relu,0.24034160991263967,32,0.034597848947325496,True,,none,3.0951638371675647e-06,COMPLETE
85,162.67193603515625,2026-01-02 17:00:57.939347,2026-01-02 17:01:05.771423,0 days 00:00:07.832076,relu,0.22732169684323678,44,0.08689789959843969,True,,none,1.5920890140054392e-05,COMPLETE
86,162.78060913085938,2026-01-02 17:01:05.779423,2026-01-02 17:01:13.493566,0 days 00:00:07.714143,relu,0.22270053313835425,44,0.09656633306615284,True,,none,1.6995816212943322e-05,COMPLETE
87,198.2779610188802,2026-01-02 17:01:13.502075,2026-01-02 17:01:21.262207,0 days 00:00:07.760132,relu,0.21700456642643828,45,0.0009604261604837612,False,,none,1.5023833996442317e-05,COMPLETE
88,201.5629119873047,2026-01-02 17:01:21.270210,2026-01-02 17:01:28.670228,0 days 00:00:07.400018,relu,0.22956549646468388,6,0.08632739299718718,True,,none,2.7397498329848078e-05,COMPLETE
89,161.69053649902344,2026-01-02 17:01:28.678227,2026-01-02 17:01:36.777043,0 days 00:00:08.098816,relu,0.22394983703659038,39,0.0995518389951745,True,,none,1.8250644605922384e-05,COMPLETE
90,163.18502807617188,2026-01-02 17:01:36.785039,2026-01-02 17:01:44.593155,0 days 00:00:07.808116,relu,0.21050408499435283,38,0.09945486437454283,True,,none,7.850203559319599e-06,COMPLETE
