number,value,datetime_start,datetime_complete,duration,params_activation,params_dropout,params_gaussian_noise,params_hidden_size,params_lr,params_scale_target,params_scaler,params_weight_decay,state
27,189.69261169433594,2026-01-20 17:08:21.900150,2026-01-20 17:08:24.059695,0 days 00:00:02.159545,gelu,0.3493156048812439,0.02788290736594904,26,0.01488486189296424,True,robust,3.5992072379463544e-06,COMPLETE
28,199.00399780273438,2026-01-20 17:08:24.064284,2026-01-20 17:08:26.255092,0 days 00:00:02.190808,relu,0.2900195109565914,0.08632298304088278,22,0.0026243133732020696,True,robust,1.2624548248923227e-05,COMPLETE
29,169.43350219726562,2026-01-20 17:08:26.258921,2026-01-20 17:08:28.631833,0 days 00:00:02.372912,relu,0.1910165400527032,0.01672330359607043,34,0.0609242426842407,True,robust,2.9557188481978894e-05,COMPLETE
30,186.88552856445312,2026-01-20 17:08:28.636720,2026-01-20 17:08:30.942528,0 days 00:00:02.305808,gelu,0.19130265708856548,0.04012117823104684,28,0.06344682427931869,True,minmax,3.174360732121332e-05,COMPLETE
31,168.9267120361328,2026-01-20 17:08:30.946785,2026-01-20 17:08:33.523612,0 days 00:00:02.576827,relu,0.22956489586327147,0.018002855014271586,35,0.06178174046021331,True,robust,2.333386712675405e-05,COMPLETE
32,169.61880493164062,2026-01-20 17:08:33.527815,2026-01-20 17:08:35.912209,0 days 00:00:02.384394,relu,0.14644931032849803,0.01689222116519218,33,0.06650352484630406,True,robust,5.296626603392989e-05,COMPLETE
33,169.82766723632812,2026-01-20 17:08:35.916434,2026-01-20 17:08:38.190760,0 days 00:00:02.274326,relu,0.14783462152837593,0.018046942241831263,34,0.05852271963422675,True,robust,6.6404970701802e-05,COMPLETE
34,200.0765380859375,2026-01-20 17:08:38.195007,2026-01-20 17:08:40.741683,0 days 00:00:02.546676,relu,0.11041347594248116,0.02979672690624434,37,0.006165914800408491,True,minmax,0.00018947303472005312,COMPLETE
35,181.29833984375,2026-01-20 17:08:40.782483,2026-01-20 17:08:43.027310,0 days 00:00:02.244827,relu,0.18383830562329612,0.019818140715745503,30,0.015476079389684032,True,robust,4.275106335532829e-05,COMPLETE
36,182.1134033203125,2026-01-20 17:08:43.031487,2026-01-20 17:08:45.189661,0 days 00:00:02.158174,relu,0.20303903656150582,0.03846980947847659,32,0.03917363360568461,True,none,0.00016366433970460524,COMPLETE
37,258.4652508544922,2026-01-20 17:08:45.194010,2026-01-20 17:08:47.364828,0 days 00:00:02.170818,relu,0.14192886193728865,0.024189091078341843,40,0.0008572841287379059,False,robust,2.2032130368465892e-05,COMPLETE
38,192.87777709960938,2026-01-20 17:08:47.371077,2026-01-20 17:08:49.666889,0 days 00:00:02.295812,silu,0.1693312342426248,0.04387546003505277,35,0.06853602958862853,True,minmax,0.0001038280720315852,COMPLETE
39,192.18215942382812,2026-01-20 17:08:49.670496,2026-01-20 17:08:51.961535,0 days 00:00:02.291039,relu,0.12854215210069608,0.01669870457135226,29,0.004175453587699442,True,robust,2.743260981123874e-05,COMPLETE
40,255.41779052734378,2026-01-20 17:08:51.966655,2026-01-20 17:08:54.276179,0 days 00:00:02.309524,relu,0.19243986864346485,0.052610071852474474,39,0.0008769794272388579,False,robust,4.859473378430365e-05,COMPLETE
41,168.50387573242188,2026-01-20 17:08:54.280358,2026-01-20 17:08:56.695236,0 days 00:00:02.414878,relu,0.10275585182321256,0.01978478778319787,33,0.06182801278623544,True,robust,7.258077065264652e-05,COMPLETE
42,168.0209503173828,2026-01-20 17:08:56.699985,2026-01-20 17:08:58.904122,0 days 00:00:02.204137,relu,0.10773642664974545,0.012064323708029793,32,0.06801657904092792,True,robust,0.00014760443178216186,COMPLETE
43,175.6688690185547,2026-01-20 17:08:58.908568,2026-01-20 17:09:01.182432,0 days 00:00:02.273864,relu,0.10077019179134078,0.011238302720573742,37,0.03135351929641153,True,robust,0.00029887742784864206,COMPLETE
44,179.19992065429688,2026-01-20 17:09:01.186392,2026-01-20 17:09:03.318036,0 days 00:00:02.131644,silu,0.1151232701127705,0.03268740894298985,28,0.06738389405436344,True,robust,0.00015876101899946207,COMPLETE
45,171.3888702392578,2026-01-20 17:09:03.322834,2026-01-20 17:09:05.580618,0 days 00:00:02.257784,relu,0.22372176311131237,0.02234548115900074,42,0.048506417231590424,True,robust,8.535257815881635e-05,COMPLETE
