number,value,datetime_start,datetime_complete,duration,params_activation,params_dropout,params_hidden_size,params_lr,params_scale_target,params_scaler_post_pca,params_weight_decay,state
90,,2026-01-02 13:51:50.820894,2026-01-02 13:52:27.957814,0 days 00:00:37.136920,mish,0.20807825364280705,31,0.09534303586564326,False,minmax,0.00042846434997863015,FAIL
91,,2026-01-02 13:52:27.963474,2026-01-02 13:53:05.040154,0 days 00:00:37.076680,mish,0.2143557894036107,31,0.08666473842478466,False,minmax,0.0004402225296212852,FAIL
92,,2026-01-02 13:53:05.045661,2026-01-02 13:53:40.642060,0 days 00:00:35.596399,mish,0.21418941685464196,14,0.09228220932827666,False,minmax,0.00039509956311169686,FAIL
93,,2026-01-02 13:53:40.647761,2026-01-02 13:54:19.784778,0 days 00:00:39.137017,mish,0.20993149807342334,48,0.09568349382799597,False,minmax,0.0004269121265343666,FAIL
94,,2026-01-02 13:54:19.790598,2026-01-02 13:55:00.023582,0 days 00:00:40.232984,mish,0.20795443001872604,47,0.09524748522473019,False,minmax,0.0004642193678015014,FAIL
95,,2026-01-02 13:55:00.030678,2026-01-02 13:55:39.408911,0 days 00:00:39.378233,mish,0.22081863490368608,48,0.08801133773812118,False,minmax,0.00048606686080685435,FAIL
96,,2026-01-02 13:55:39.414297,2026-01-02 13:56:19.124660,0 days 00:00:39.710363,mish,0.21022594530249758,50,0.09213727821643754,False,minmax,0.0004132303697728158,FAIL
97,,2026-01-02 13:56:19.131125,2026-01-02 14:10:23.603013,0 days 00:14:04.471888,mish,0.21222712818829492,14,0.061155776985140735,False,minmax,0.0003662010253590501,FAIL
98,,2026-01-02 14:10:23.614688,2026-01-02 14:11:01.931252,0 days 00:00:38.316564,mish,0.21759064761418095,47,0.06298869641325738,False,minmax,0.00041317528558775847,FAIL
99,,2026-01-02 14:11:01.937470,2026-01-02 14:11:39.225527,0 days 00:00:37.288057,mish,0.1951358874400524,49,0.08588612224316919,False,minmax,0.0004114585494548231,FAIL
100,,2026-01-02 14:11:39.230536,2026-01-02 14:12:16.675885,0 days 00:00:37.445349,mish,0.20147166917362508,49,0.06765077589535898,False,minmax,0.00046218021013389864,FAIL
101,,2026-01-02 14:12:16.682865,2026-01-02 14:12:53.680131,0 days 00:00:36.997266,mish,0.21709014759366252,47,0.0905940844360381,False,minmax,0.00044186938169341847,FAIL
102,,2026-01-02 14:12:53.685200,2026-01-02 14:13:26.873626,0 days 00:00:33.188426,mish,0.23134024608592157,14,0.08840524822847758,False,minmax,0.0003342056535994308,FAIL
103,,2026-01-02 14:13:26.879809,2026-01-02 14:14:04.869065,0 days 00:00:37.989256,mish,0.21444555983661825,49,0.0981984173366775,False,minmax,0.0004116140207656382,FAIL
104,,2026-01-02 14:14:04.874818,2026-01-02 14:14:39.477738,0 days 00:00:34.602920,mish,0.21529509779710687,14,0.08410914209328187,False,minmax,0.00035071750744072205,FAIL
